epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,424.316,0.52443,0.90113,1,0.25916,0.000333016,0.000333016,0.0670314
2,824.539,0.27515,0.90738,1,0.24327,0.000534412,0.000534412,0.0338995
3,1244.44,0.22513,0.9224,1,0.19643,0.000603808,0.000603808,0.000635554
4,1705.19,0.17377,0.92741,1,0.17132,0.000406,0.000406,0.000406
5,2106.69,0.13451,0.90864,1,0.25045,0.000208,0.000208,0.000208
