epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,21.6662,0.68321,0.62546,1,0.63792,0.000496835,0.000165612,0.000496835,0.000165612,0.0673745,0.0670432,0.000496835,0.000165612
2,42.662,0.59295,0.75567,1,0.51784,0.000994132,0.000331377,0.000994132,0.000331377,0.0345384,0.0338757,0.000994132,0.000331377
3,66.3321,0.39326,0.9071,1,0.26204,0.00148064,0.000493548,0.00148064,0.000493548,0.00169161,0.000704519,0.00148064,0.000493548
4,91.9238,0.17934,0.93124,1,0.19021,0.00146366,0.000487886,0.00146366,0.000487886,0.00146366,0.000487886,0.00146366,0.000487886
5,118.489,0.1057,0.94148,1,0.16383,0.00143581,0.000478603,0.00143581,0.000478603,0.00143581,0.000478603,0.00143581,0.000478603
6,145.737,0.06377,0.93782,1,0.17941,0.00140052,0.000466841,0.00140052,0.000466841,0.00140052,0.000466841,0.00140052,0.000466841
7,174.235,0.04069,0.94733,1,0.17317,0.0013582,0.000452732,0.0013582,0.000452732,0.0013582,0.000452732,0.0013582,0.000452732
8,207.882,0.02554,0.95172,1,0.17486,0.00130929,0.000436428,0.00130929,0.000436428,0.00130929,0.000436428,0.00130929,0.000436428
9,239.213,0.02198,0.94806,1,0.19389,0.00125433,0.00041811,0.00125433,0.00041811,0.00125433,0.00041811,0.00125433,0.00041811
10,269.634,0.01585,0.9466,1,0.1917,0.00119393,0.000397977,0.00119393,0.000397977,0.00119393,0.000397977,0.00119393,0.000397977
11,300.134,0.01166,0.94587,1,0.19816,0.00112875,0.00037625,0.00112875,0.00037625,0.00112875,0.00037625,0.00112875,0.00037625
12,330.933,0.00847,0.94001,1,0.22304,0.0010595,0.000353167,0.0010595,0.000353167,0.0010595,0.000353167,0.0010595,0.000353167
13,361.531,0.00635,0.94075,1,0.22985,0.000986945,0.000328982,0.000986945,0.000328982,0.000986945,0.000328982,0.000986945,0.000328982
